nhood,lat,lon
alameda,37.787204793938,-122.296208917634
alamo square,37.77933,-122.43386
albany / el cerrito,37.908092,-122.305259
almaden,37.2190868,-121.8497001
american canyon,38.158797,-122.256055
atherton,37.4613184,-122.1984298
bayview,37.7295,-122.391
belmont / san carlos,37.494469867397,-122.253045455319
ben lomond,37.089062,-122.086694
berkeley,37.87079708243,-122.285039134232
berkeley downtown,37.8692005,-122.2693085
berkeley north / hills,37.992611943215,-122.500656629918
berkeley south,37.86079,-122.27114
berkeley west,37.87437,-122.298581
bernal,37.701649168688,-122.089300423341
boulder cr,37.1261222,-122.1214273
brentwood / oakley / discovery bay,37.962218,-121.695559
brisbane,37.6808,-122.4
brookdale,37.099799,-122.101011
buena vista park / ashbury hts / corona hts,38.33325,-123.04806
burlingame / hillsborough,37.581425939761,-122.343028983235
calistoga,38.5786,-122.57894
campbell,37.2876604,-121.9424317
candlestick point,37.71255,-122.38554
capitola / soquel,36.985486798658,-121.951585499374
castro,37.760961,-122.4339
cazadero,38.5329773,-123.0852146
CCSF,38.026156,-122.269398
san jose central,37.763162541734,-122.250818952657
civic / van ness,37.781,-122.42
clayton,37.9412403,-121.9338102
cloverdale,38.806,-123.017
coastside / pescadero,38.33325,-123.04806
cole valley,37.7649,-122.45027
colma,37.677,-122.456
concord / pleasant hill / martinez,37.976317226016,-122.063963905062
corralitos,36.986818,-121.806735
corte madera,37.926,-122.528
crockett,37.532834495666,-121.976740505536
cupertino,37.319314,-122.029264
daly city,37.688,-122.47
danville / san ramon,37.80808,-121.992702
diamond heights,37.7443436,-122.4426045
dillon beach,38.250001,-122.964719
dixon / winters,37.666444986903,-121.879804507773
downtown,37.79,-122.401
dublin / pleasanton,37.699163,-121.944037
east bay,37.8,-122.27
emeryville,37.832,-122.286
excelsior / outer mission,37.7117242,-122.450014
fairfax,37.986881,-122.587142
fairfield / vacaville,38.3703,-121.95229
felton,37.053112,-122.074096
financial district,37.795363,-122.398014
forest knolls,38.014058,-122.689702
foster city,37.561247,-122.24795
geyserville,37.784023851516,-121.542185567562
gilroy,36.994139,-121.56207
glen park,37.80495848555,-122.225072680604
green valley / cordelia,38.25329,-122.161248
greenbrae,37.947962,-122.525158
guerneville / forestville,38.501992,-122.998768
haight ashbury,37.769282,-122.445148
half moon bay,37.48327,-122.47192
hayes valley,37.772741,-122.425525
